hatespeech;counterspeech;target
If a girl has muslim parents, she is at risk of FGM!;Female Genital Mutilation occurs in non-Muslim societies (including Christian and Animist ones) it is a cultural practice, not connected to religion.;facts
It is obvious that this girl is at risk of FGM. Her parents are Muslims!;How can you say that about an entire faith?;denouncing
Fgm happens only to girls that have muslims parents!;How can you say that about an entire faith?;denouncing
If a girl has muslim parents, she is at risk of FGM!;How can you say that about an entire faith?;denouncing
It is obvious that this girl is at risk of FGM. Her parents are Muslims!;Fgm is very serious breach of human rights which we need to address as an international community but it does not come from Islam, we need to look at the whole problem to tackle it.;facts
Fgm happens only to girls that have muslims parents!;Fgm is very serious breach of human rights which we need to address as an international community but it does not come from Islam, we need to look at the whole problem to tackle it.;facts
If a girl has muslim parents, she is at risk of FGM!;Fgm is very serious breach of human rights which we need to address as an international community but it does not come from Islam, we need to look at the whole problem to tackle it.;facts
It is obvious that this girl is at risk of FGM. Her parents are Muslims!;The Quran does not mention FGM and it is carried out by Christians as well as Muslims. The fact that her parents are Muslim has no bearing on the risk factor.;facts
Fgm happens only to girls that have muslims parents!;The Quran does not mention FGM and it is carried out by Christians as well as Muslims. The fact that her parents are Muslim has no bearing on the risk factor.;facts
If a girl has muslim parents, she is at risk of FGM!;The Quran does not mention FGM and it is carried out by Christians as well as Muslims. The fact that her parents are Muslim has no bearing on the risk factor.;facts
It is obvious that this girl is at risk of FGM. Her parents are Muslims!;Where do you get this misconception of that only Muslims practise FGM?;question
Fgm happens only to girls that have muslims parents!;Where do you get this misconception of that only Muslims practise FGM?;question
If a girl has muslim parents, she is at risk of FGM!;Where do you get this misconception of that only Muslims practise FGM?;question
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!;During the depression following the second world war, Muslims from across the world were invited to Britain to help combat austerity. It worked. They were invited because countries across the world had already been subjugated by the British Empire.;facts
Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!;During the depression following the second world war, Muslims from across the world were invited to Britain to help combat austerity. It worked. They were invited because countries across the world had already been subjugated by the British Empire.;facts
Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!;During the depression following the second world war, Muslims from across the world were invited to Britain to help combat austerity. It worked. They were invited because countries across the world had already been subjugated by the British Empire.;facts
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!;I think you will find race hate started by the English when we first set foot overseas, Crusade anyone?;facts
Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!;I think you will find race hate started by the English when we first set foot overseas, Crusade anyone?;facts
Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!;I think you will find race hate started by the English when we first set foot overseas, Crusade anyone?;facts
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!;When 400,000 Muslims died in WW1 for Britain, seems to me like this hate is very one sided.;hypocrisy
Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!;When 400,000 Muslims died in WW1 for Britain, seems to me like this hate is very one sided.;hypocrisy
Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!;When 400,000 Muslims died in WW1 for Britain, seems to me like this hate is very one sided.;hypocrisy
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!;Race hate has always had its roots in far right paranoia. Migrants in the UK have always worked hard and made a positive difference to the communities they joined.;facts
Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!;Race hate has always had its roots in far right paranoia. Migrants in the UK have always worked hard and made a positive difference to the communities they joined.;facts
Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!;Race hate has always had its roots in far right paranoia. Migrants in the UK have always worked hard and made a positive difference to the communities they joined.;facts
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!;So race hate started when Westerners could not tolerate other people who had different beliefs?;hypocrisy
Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!;So race hate started when Westerners could not tolerate other people who had different beliefs?;hypocrisy
Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!;So race hate started when Westerners could not tolerate other people who had different beliefs?;hypocrisy
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!;Islam is all about love and tolerance [insert quote].;positive
Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!;Islam is all about love and tolerance [insert quote].;positive
Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!;Islam is all about love and tolerance [insert quote].;positive
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!;Hate really? Even the doctors, surgeons, teachers, fire fighters, taxi drivers that rescued the Manchester bombing victims, the ones working to stop cancer, feed the homeless. See where I am going?;facts
Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!;Hate really? Even the doctors, surgeons, teachers, fire fighters, taxi drivers that rescued the Manchester bombing victims, the ones working to stop cancer, feed the homeless. See where I am going?;facts
Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!;Hate really? Even the doctors, surgeons, teachers, fire fighters, taxi drivers that rescued the Manchester bombing victims, the ones working to stop cancer, feed the homeless. See where I am going?;facts
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!;Are you suggesting that their very existence is an excuse for your hate?;hypocrisy
Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!;Are you suggesting that their very existence is an excuse for your hate?;hypocrisy
Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!;Are you suggesting that their very existence is an excuse for your hate?;hypocrisy
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!;Muslims and others were invited into the UK after they fought and died in the second world protecting the UK because we needed help to rebuild the UK and they still do a great job keeping the NHS, transport and everything else going, despite us hating them.;facts
Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!;Muslims and others were invited into the UK after they fought and died in the second world protecting the UK because we needed help to rebuild the UK and they still do a great job keeping the NHS, transport and everything else going, despite us hating them.;facts
Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!;Muslims and others were invited into the UK after they fought and died in the second world protecting the UK because we needed help to rebuild the UK and they still do a great job keeping the NHS, transport and everything else going, despite us hating them.;facts
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!;Perhaps you should monitor your own hate speech before pointing the finger at others?;denouncing
Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!;Perhaps you should monitor your own hate speech before pointing the finger at others?;denouncing
Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!;Perhaps you should monitor your own hate speech before pointing the finger at others?;denouncing
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!;This has not factual basis.;facts
Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!;This has not factual basis.;facts
Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!;This has not factual basis.;facts
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!;Really? For every example of hate there are a hundred examples of love tolerance and kindness just like for every other religion.;positive
Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!;Really? For every example of hate there are a hundred examples of love tolerance and kindness just like for every other religion.;positive
Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!;Really? For every example of hate there are a hundred examples of love tolerance and kindness just like for every other religion.;positive
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!;Do you think maybe race hate actually started in England when we began colonising other nations and treating people of other races as sub-human?;facts
Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!;Do you think maybe race hate actually started in England when we began colonising other nations and treating people of other races as sub-human?;facts
Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!;Do you think maybe race hate actually started in England when we began colonising other nations and treating people of other races as sub-human?;facts
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!;[gif of someone looking skeptical] i mean, race hate is almost entirely directed at minorities so you seem to be suggesting that race hate began when far right paranoia found it is newest target.;hypocrisy
Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!;[gif of someone looking skeptical] i mean, race hate is almost entirely directed at minorities so you seem to be suggesting that race hate began when far right paranoia found it is newest target.;hypocrisy
Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!;[gif of someone looking skeptical] i mean, race hate is almost entirely directed at minorities so you seem to be suggesting that race hate began when far right paranoia found it is newest target.;hypocrisy
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!;[positive example of Muslim community] when the Muslim community [is doing this] do you really think someone's very existence is an excuse to project hate at them? Clearly the Muslim community doesn't.;hypocrisy
Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!;[positive example of Muslim community] when the Muslim community [is doing this] do you really think someone's very existence is an excuse to project hate at them? Clearly the Muslim community doesn't.;hypocrisy
Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!;[positive example of Muslim community] when the Muslim community [is doing this] do you really think someone's very existence is an excuse to project hate at them? Clearly the Muslim community doesn't.;hypocrisy
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!;[quote from Quran about peace and love] lol don't look like it m8.;positive
Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!;[quote from Quran about peace and love] lol don't look like it m8.;positive
Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!;[quote from Quran about peace and love] lol don't look like it m8.;positive
Being 'ignorant' and 'prejudiced' towards Islam isn't racism? Its common sense. You cannot be racist towards an ideology.;You cannot be racist towards an ideology. You can, however, be discriminatory and intolerant towards the people that follow it.;facts
I think is common sense to have prejudice about Islam. This isn't racism because Islam is a cult.;You cannot be racist towards an ideology. You can, however, be discriminatory and intolerant towards the people that follow it.;facts
I think that unfamilarity with Islam is wit, not xenophobia. How can we be defined islamophobic, if we are in contrast with an ideology?;You cannot be racist towards an ideology. You can, however, be discriminatory and intolerant towards the people that follow it.;facts
Being 'ignorant' and 'prejudiced' towards Islam isn't racism? Its common sense. You cannot be racist towards an ideology.;I mean, we could call it religious motivated hate if you like which, coincidentally, is what the law calls it.;facts
I think is common sense to have prejudice about Islam. This isn't racism because Islam is a cult.;I mean, we could call it religious motivated hate if you like which, coincidentally, is what the law calls it.;facts
I think that unfamilarity with Islam is wit, not xenophobia. How can we be defined islamophobic, if we are in contrast with an ideology?;I mean, we could call it religious motivated hate if you like which, coincidentally, is what the law calls it.;facts
Being 'ignorant' and 'prejudiced' towards Islam isn't racism? Its common sense. You cannot be racist towards an ideology.;Prejudice = Pre-judging ie not knowing anything how can that be common sense?;facts
I think is common sense to have prejudice about Islam. This isn't racism because Islam is a cult.;Prejudice = Pre-judging ie not knowing anything how can that be common sense?;facts
I think that unfamilarity with Islam is wit, not xenophobia. How can we be defined islamophobic, if we are in contrast with an ideology?;Prejudice = Pre-judging ie not knowing anything how can that be common sense?;facts
Being 'ignorant' and 'prejudiced' towards Islam isn't racism? Its common sense. You cannot be racist towards an ideology.;The semantics of your hate does not change that it is still there.;denouncing
I think is common sense to have prejudice about Islam. This isn't racism because Islam is a cult.;The semantics of your hate does not change that it is still there.;denouncing
I think that unfamilarity with Islam is wit, not xenophobia. How can we be defined islamophobic, if we are in contrast with an ideology?;The semantics of your hate does not change that it is still there.;denouncing
Being 'ignorant' and 'prejudiced' towards Islam isn't racism? Its common sense. You cannot be racist towards an ideology.;Ah logically and well argued. Not!;denouncing
I think is common sense to have prejudice about Islam. This isn't racism because Islam is a cult.;Ah logically and well argued. Not!;denouncing
I think that unfamilarity with Islam is wit, not xenophobia. How can we be defined islamophobic, if we are in contrast with an ideology?;Ah logically and well argued. Not!;denouncing
Being 'ignorant' and 'prejudiced' towards Islam isn't racism? Its common sense. You cannot be racist towards an ideology.;"Common Sense definition: 'good sense and sound judgement in practical matters';"" prejudice definition: 'preconceived opinion that is not based on reason or actual experience'. Nope your wrong.";facts 
I think is common sense to have prejudice about Islam. This isn't racism because Islam is a cult.;"Common Sense definition: 'good sense and sound judgement in practical matters';"" prejudice definition: 'preconceived opinion that is not based on reason or actual experience'. Nope your wrong.";facts 
I think that unfamilarity with Islam is wit, not xenophobia. How can we be defined islamophobic, if we are in contrast with an ideology?;"Common Sense definition: 'good sense and sound judgement in practical matters';"" prejudice definition: 'preconceived opinion that is not based on reason or actual experience'. Nope your wrong.";facts 
Being 'ignorant' and 'prejudiced' towards Islam isn't racism? Its common sense. You cannot be racist towards an ideology.;Yes you can. Bigotry is bigotry.;denouncing
I think is common sense to have prejudice about Islam. This isn't racism because Islam is a cult.;Yes you can. Bigotry is bigotry.;denouncing
I think that unfamilarity with Islam is wit, not xenophobia. How can we be defined islamophobic, if we are in contrast with an ideology?;Yes you can. Bigotry is bigotry.;denouncing
We have been at war with Islam for a thousand years.;Says who?;question
Our country is fighting a war against Islam for a thousand years.;Says who?;question
There is a war that involves us and the Muslims thet is lasting for a thousand years.;Says who?;question
We have been at war with Islam for a thousand years.;Or have we been coexisting and you are now suddenly offended by people being different from you?;denouncing
Our country is fighting a war against Islam for a thousand years.;Or have we been coexisting and you are now suddenly offended by people being different from you?;denouncing
There is a war that involves us and the Muslims thet is lasting for a thousand years.;Or have we been coexisting and you are now suddenly offended by people being different from you?;denouncing
We have been at war with Islam for a thousand years.;You sound a bit paranoid mate, I do not think Muslims feel the same way.;humor
Our country is fighting a war against Islam for a thousand years.;You sound a bit paranoid mate, I do not think Muslims feel the same way.;humor
There is a war that involves us and the Muslims thet is lasting for a thousand years.;You sound a bit paranoid mate, I do not think Muslims feel the same way.;humor
We have been at war with Islam for a thousand years.;Do you know there are Muslims in British Army? [link to Muslim people currently in British Army, quotes from them about why? Quotes from army about recruitment?].;facts
Our country is fighting a war against Islam for a thousand years.;Do you know there are Muslims in British Army? [link to Muslim people currently in British Army, quotes from them about why? Quotes from army about recruitment?].;facts
There is a war that involves us and the Muslims thet is lasting for a thousand years.;Do you know there are Muslims in British Army? [link to Muslim people currently in British Army, quotes from them about why? Quotes from army about recruitment?].;facts
We have been at war with Islam for a thousand years.;Who has? Nobody has been at war with an entire faith for a thousand years.;facts
Our country is fighting a war against Islam for a thousand years.;Who has? Nobody has been at war with an entire faith for a thousand years.;facts
There is a war that involves us and the Muslims thet is lasting for a thousand years.;Who has? Nobody has been at war with an entire faith for a thousand years.;facts
We have been at war with Islam for a thousand years.;2.5 million Muslims travelled to Europe to fight for the Allies in WW1.;facts
Our country is fighting a war against Islam for a thousand years.;2.5 million Muslims travelled to Europe to fight for the Allies in WW1.;facts
There is a war that involves us and the Muslims thet is lasting for a thousand years.;2.5 million Muslims travelled to Europe to fight for the Allies in WW1.;facts
We have been at war with Islam for a thousand years.;To the contrary, we have been trading with Muslim nations for hundreds of years, often at times when we were at war with other European nations.;facts
Our country is fighting a war against Islam for a thousand years.;To the contrary, we have been trading with Muslim nations for hundreds of years, often at times when we were at war with other European nations.;facts
There is a war that involves us and the Muslims thet is lasting for a thousand years.;To the contrary, we have been trading with Muslim nations for hundreds of years, often at times when we were at war with other European nations.;facts
They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult.;Does prohibiton of anything ever work? I though religious tolerance was one of our 'British values'?;hypocrisy
If we want to solve the problem with islam and sharia we should deport them. Even if I respect Muslims that are peaceful I think that priests are trying to start a war. Islam is a worship.;Does prohibiton of anything ever work? I though religious tolerance was one of our 'British values'?;hypocrisy
The only way we can fight Islam and Sharia is to banish them from the UK. Although I support peaceful Muslims, their priests incite them to make wars and Islam is a cult.;Does prohibiton of anything ever work? I though religious tolerance was one of our 'British values'?;hypocrisy
They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult.;This is not true. How can you say this about an entire faith?;denouncing
If we want to solve the problem with islam and sharia we should deport them. Even if I respect Muslims that are peaceful I think that priests are trying to start a war. Islam is a worship.;This is not true. How can you say this about an entire faith?;denouncing
The only way we can fight Islam and Sharia is to banish them from the UK. Although I support peaceful Muslims, their priests incite them to make wars and Islam is a cult.;This is not true. How can you say this about an entire faith?;denouncing
They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult.;You cannot blame all people for actions of a few. Banning something altogether will not solve anything.;denouncing
If we want to solve the problem with islam and sharia we should deport them. Even if I respect Muslims that are peaceful I think that priests are trying to start a war. Islam is a worship.;You cannot blame all people for actions of a few. Banning something altogether will not solve anything.;denouncing
The only way we can fight Islam and Sharia is to banish them from the UK. Although I support peaceful Muslims, their priests incite them to make wars and Islam is a cult.;You cannot blame all people for actions of a few. Banning something altogether will not solve anything.;denouncing
They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult.;If someone's agitating for war and death, we should deal with them directly. But as you correctly point that out, most of the people are not connected to the offensive statements and are just peaceful Muslims.;facts
If we want to solve the problem with islam and sharia we should deport them. Even if I respect Muslims that are peaceful I think that priests are trying to start a war. Islam is a worship.;If someone's agitating for war and death, we should deal with them directly. But as you correctly point that out, most of the people are not connected to the offensive statements and are just peaceful Muslims.;facts
The only way we can fight Islam and Sharia is to banish them from the UK. Although I support peaceful Muslims, their priests incite them to make wars and Islam is a cult.;If someone's agitating for war and death, we should deal with them directly. But as you correctly point that out, most of the people are not connected to the offensive statements and are just peaceful Muslims.;facts
They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult.;Islam does not agitate for war or violence. On the countrary, most of the 50 Muslim-majority countries around the world are at peace. Uk is a Christian-majority country, while there has been knife and gun issues over last 20 years.;facts
If we want to solve the problem with islam and sharia we should deport them. Even if I respect Muslims that are peaceful I think that priests are trying to start a war. Islam is a worship.;Islam does not agitate for war or violence. On the countrary, most of the 50 Muslim-majority countries around the world are at peace. Uk is a Christian-majority country, while there has been knife and gun issues over last 20 years.;facts
The only way we can fight Islam and Sharia is to banish them from the UK. Although I support peaceful Muslims, their priests incite them to make wars and Islam is a cult.;Islam does not agitate for war or violence. On the countrary, most of the 50 Muslim-majority countries around the world are at peace. Uk is a Christian-majority country, while there has been knife and gun issues over last 20 years.;facts
They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult.;To ban people you respect from practicing their faith because of the actions of a few does seem more that a bit unfair?;denouncing
If we want to solve the problem with islam and sharia we should deport them. Even if I respect Muslims that are peaceful I think that priests are trying to start a war. Islam is a worship.;To ban people you respect from practicing their faith because of the actions of a few does seem more that a bit unfair?;denouncing
The only way we can fight Islam and Sharia is to banish them from the UK. Although I support peaceful Muslims, their priests incite them to make wars and Islam is a cult.;To ban people you respect from practicing their faith because of the actions of a few does seem more that a bit unfair?;denouncing
They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult.;When you say 'cult' you imply a minor religious group, but I isn't Islam one of the worlds major religions.;hypocrisy
If we want to solve the problem with islam and sharia we should deport them. Even if I respect Muslims that are peaceful I think that priests are trying to start a war. Islam is a worship.;When you say 'cult' you imply a minor religious group, but I isn't Islam one of the worlds major religions.;hypocrisy
The only way we can fight Islam and Sharia is to banish them from the UK. Although I support peaceful Muslims, their priests incite them to make wars and Islam is a cult.;When you say 'cult' you imply a minor religious group, but I isn't Islam one of the worlds major religions.;hypocrisy
They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult.;Although, in June 2018, for example, more than 2,000 Afghan religious scholars from around the country issued a fatwa, an Islamic directive, saying 'the ongoing war in Afghanistan is forbidden under the Islamic law'. So clearly not all Muslim clerics are warmongers.;facts
If we want to solve the problem with islam and sharia we should deport them. Even if I respect Muslims that are peaceful I think that priests are trying to start a war. Islam is a worship.;Although, in June 2018, for example, more than 2,000 Afghan religious scholars from around the country issued a fatwa, an Islamic directive, saying 'the ongoing war in Afghanistan is forbidden under the Islamic law'. So clearly not all Muslim clerics are warmongers.;facts
The only way we can fight Islam and Sharia is to banish them from the UK. Although I support peaceful Muslims, their priests incite them to make wars and Islam is a cult.;Although, in June 2018, for example, more than 2,000 Afghan religious scholars from around the country issued a fatwa, an Islamic directive, saying 'the ongoing war in Afghanistan is forbidden under the Islamic law'. So clearly not all Muslim clerics are warmongers.;facts
They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult.;From what I have heard clerics are supporting the idea of living peacefully so, I am not sure why you would think that someone is agitating for war? Plus, this is not a way to be.;facts
If we want to solve the problem with islam and sharia we should deport them. Even if I respect Muslims that are peaceful I think that priests are trying to start a war. Islam is a worship.;From what I have heard clerics are supporting the idea of living peacefully so, I am not sure why you would think that someone is agitating for war? Plus, this is not a way to be.;facts
The only way we can fight Islam and Sharia is to banish them from the UK. Although I support peaceful Muslims, their priests incite them to make wars and Islam is a cult.;From what I have heard clerics are supporting the idea of living peacefully so, I am not sure why you would think that someone is agitating for war? Plus, this is not a way to be.;facts
Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop Islam spreading!;Islam is not evil. An entire faith is not evil. A sweeping and bigoted statement.;denouncing
Islam=evil. Islam is invading us and trying to take over countries. It does not follow the scriptures that say 'you shall not envy anyone anything' Stop islam!;Islam is not evil. An entire faith is not evil. A sweeping and bigoted statement.;denouncing
Muslims follow a despicable religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!;Islam is not evil. An entire faith is not evil. A sweeping and bigoted statement.;denouncing
Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop Islam spreading!;I do not think Islam is evil. The Qu'ran statements do not promote anything evil or hateful. The reputation of Muslims was undermined by terrorist groups, but no need to generalize too much.;facts
Islam=evil. Islam is invading us and trying to take over countries. It does not follow the scriptures that say 'you shall not envy anyone anything' Stop islam!;I do not think Islam is evil. The Qu'ran statements do not promote anything evil or hateful. The reputation of Muslims was undermined by terrorist groups, but no need to generalize too much.;facts
Muslims follow a despicable religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!;I do not think Islam is evil. The Qu'ran statements do not promote anything evil or hateful. The reputation of Muslims was undermined by terrorist groups, but no need to generalize too much.;facts
Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop Islam spreading!;Why do you think Islam is evil? The major beliefs in Islam encourage liberty, equality, and life. For instance, they teach people to respect for the lands and all creatures.;positive
Islam=evil. Islam is invading us and trying to take over countries. It does not follow the scriptures that say 'you shall not envy anyone anything' Stop islam!;Why do you think Islam is evil? The major beliefs in Islam encourage liberty, equality, and life. For instance, they teach people to respect for the lands and all creatures.;positive
Muslims follow a despicable religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!;Why do you think Islam is evil? The major beliefs in Islam encourage liberty, equality, and life. For instance, they teach people to respect for the lands and all creatures.;positive
Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop Islam spreading!;The number of Muslims in the world is fast growing. Do you think if a religion is evil or teaches bad things, it will have that much followers?;hypocrisy
Islam=evil. Islam is invading us and trying to take over countries. It does not follow the scriptures that say 'you shall not envy anyone anything' Stop islam!;The number of Muslims in the world is fast growing. Do you think if a religion is evil or teaches bad things, it will have that much followers?;hypocrisy
Muslims follow a despicable religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!;The number of Muslims in the world is fast growing. Do you think if a religion is evil or teaches bad things, it will have that much followers?;hypocrisy
Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop Islam spreading!;Its too early to guess the results of the next census, but all indications are that 'persons of no faith' are an increasing majority.;facts
Islam=evil. Islam is invading us and trying to take over countries. It does not follow the scriptures that say 'you shall not envy anyone anything' Stop islam!;Its too early to guess the results of the next census, but all indications are that 'persons of no faith' are an increasing majority.;facts
Muslims follow a despicable religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!;Its too early to guess the results of the next census, but all indications are that 'persons of no faith' are an increasing majority.;facts
Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop Islam spreading!;I do not think that wanting to learn more about different countries can be described as envy?;hypocrisy
Islam=evil. Islam is invading us and trying to take over countries. It does not follow the scriptures that say 'you shall not envy anyone anything' Stop islam!;I do not think that wanting to learn more about different countries can be described as envy?;hypocrisy
Muslims follow a despicable religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!;I do not think that wanting to learn more about different countries can be described as envy?;hypocrisy
Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop Islam spreading!;Doesn't 'prohibition' always fail because it adds a certain glamour that porudes the opposite of the intended effect?;facts
Islam=evil. Islam is invading us and trying to take over countries. It does not follow the scriptures that say 'you shall not envy anyone anything' Stop islam!;Doesn't 'prohibition' always fail because it adds a certain glamour that porudes the opposite of the intended effect?;facts
Muslims follow a despicable religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!;Doesn't 'prohibition' always fail because it adds a certain glamour that porudes the opposite of the intended effect?;facts
Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop Islam spreading!;Islam is having many followers, that is true. But does it mean that it is taking over countries and nations? And how can you stop it? People are free to choose for themselves what religion to follow, and if they choose Islam that is their right!;facts
Islam=evil. Islam is invading us and trying to take over countries. It does not follow the scriptures that say 'you shall not envy anyone anything' Stop islam!;Islam is having many followers, that is true. But does it mean that it is taking over countries and nations? And how can you stop it? People are free to choose for themselves what religion to follow, and if they choose Islam that is their right!;facts
Muslims follow a despicable religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!;Islam is having many followers, that is true. But does it mean that it is taking over countries and nations? And how can you stop it? People are free to choose for themselves what religion to follow, and if they choose Islam that is their right!;facts
Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop Islam spreading!;Don't those scriptures also say, ' Thou shalt love thy neighbour as thyself.'.;facts
Islam=evil. Islam is invading us and trying to take over countries. It does not follow the scriptures that say 'you shall not envy anyone anything' Stop islam!;Don't those scriptures also say, ' Thou shalt love thy neighbour as thyself.'.;facts
Muslims follow a despicable religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!;Don't those scriptures also say, ' Thou shalt love thy neighbour as thyself.'.;facts
Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop Islam spreading!;I do not see that Islam is spreading that much. How many Muslim immigrants are there in EU? If you look up the statistics you will see that they do not consitute the majority. Furthermore, people are migrating mostly due to economic reasons, and religion has nothing to do with it!;facts
Islam=evil. Islam is invading us and trying to take over countries. It does not follow the scriptures that say 'you shall not envy anyone anything' Stop islam!;I do not see that Islam is spreading that much. How many Muslim immigrants are there in EU? If you look up the statistics you will see that they do not consitute the majority. Furthermore, people are migrating mostly due to economic reasons, and religion has nothing to do with it!;facts
